cluster_id,text
10,cattle_record: Cattle_ID=CATTLE_038684; Breed=Boran; Region=Africa; Country=AR; Climate_Zone=Mediterranean; Management_System=Pastoral; Age_Months=38; Weight_kg=472.3; Parity=3; Lactation_Stage=Mid; Days_in_Milk=342; Feed_Type=Concentrates; Feed_Quantity_kg=10.4; Water_Intake_L=20.0; Walking_Distance_km=4.73; Grazing_Duration_hrs=7.1; Rumination_Time_hrs=4.5; Resting_Hours=11.0; Body_Temperature_C=38.7; Heart_Rate_bpm=75.0; Respiratory_Rate=21.0; Ambient_Temperature_C=2.7; Humidity_percent=72.5; Season=Spring; Housing_Score=0.7; Milk_Yield_L=5.94; FMD_Vaccine=1; Brucellosis_Vaccine=0; HS_Vaccine=1; BQ_Vaccine=0; Anthrax_Vaccine=1; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=1; Previous_Week_Avg_Yield=4.39; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2024-07-07; Farm_ID=FARM_0740; Disease_Status=Healthy
12,cattle_record: Cattle_ID=CATTLE_064940; Breed=Red_Sindhi; Region=South_Asia; Country=PK; Climate_Zone=Temperate; Management_System=Intensive; Age_Months=139; Weight_kg=423.1; Parity=5; Lactation_Stage=Early; Days_in_Milk=246; Feed_Type=Green_Fodder; Feed_Quantity_kg=7.5; Water_Intake_L=69.3; Walking_Distance_km=3.26; Grazing_Duration_hrs=8.5; Rumination_Time_hrs=8.7; Resting_Hours=11.5; Body_Temperature_C=38.9; Heart_Rate_bpm=54.0; Respiratory_Rate=21.0; Ambient_Temperature_C=44.4; Humidity_percent=10.0; Season=Autumn; Housing_Score=0.64; Milk_Yield_L=4.52; FMD_Vaccine=1; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=1; Previous_Week_Avg_Yield=3.71; Body_Condition_Score=3.5; Milking_Interval_hrs=24; Date=2023-03-29; Farm_ID=FARM_0410; Disease_Status=Brucellosis
3,cattle_record: Cattle_ID=CATTLE_003955; Breed=White_Fulani; Region=Global; Country=CN; Climate_Zone=Continental; Management_System=Extensive; Age_Months=85; Weight_kg=690.0; Parity=5; Lactation_Stage=Mid; Days_in_Milk=166; Feed_Type=Green_Fodder; Feed_Quantity_kg=9.3; Water_Intake_L=96.2; Walking_Distance_km=5.11; Grazing_Duration_hrs=6.9; Rumination_Time_hrs=9.0; Resting_Hours=12.3; Body_Temperature_C=39.4; Heart_Rate_bpm=64.0; Respiratory_Rate=28.0; Ambient_Temperature_C=25.3; Humidity_percent=61.2; Season=Spring; Housing_Score=0.71; Milk_Yield_L=9.02; FMD_Vaccine=0; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=1; BVD_Vaccine=0; Rabies_Vaccine=0; Previous_Week_Avg_Yield=6.67; Body_Condition_Score=3.0; Milking_Interval_hrs=12; Date=2024-08-29; Farm_ID=FARM_0223; Disease_Status=Healthy
3,cattle_record: Cattle_ID=CATTLE_120375; Breed=Norwegian_Red; Region=Africa; Country=CN; Climate_Zone=Subtropical; Management_System=Intensive; Age_Months=71; Weight_kg=738.1; Parity=5; Lactation_Stage=Late; Days_in_Milk=205; Feed_Type=Pasture_Grass; Feed_Quantity_kg=11.5; Water_Intake_L=52.8; Walking_Distance_km=1.24; Grazing_Duration_hrs=1.1; Rumination_Time_hrs=8.3; Resting_Hours=5.5; Body_Temperature_C=38.5; Heart_Rate_bpm=72.0; Respiratory_Rate=27.0; Ambient_Temperature_C=21.8; Humidity_percent=46.0; Season=Monsoon; Housing_Score=0.37; Milk_Yield_L=16.05; FMD_Vaccine=1; Brucellosis_Vaccine=0; HS_Vaccine=1; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=1; BVD_Vaccine=0; Rabies_Vaccine=1; Previous_Week_Avg_Yield=13.7; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2023-01-09; Farm_ID=FARM_0829; Disease_Status=Healthy
3,cattle_record: Cattle_ID=CATTLE_172862; Breed=Krishna_Valley; Region=Africa; Country=CN; Climate_Zone=Subtropical; Management_System=Mixed; Age_Months=124; Weight_kg=533.2; Parity=3; Lactation_Stage=Mid; Days_in_Milk=151; Feed_Type=Silage; Feed_Quantity_kg=15.6; Water_Intake_L=95.9; Walking_Distance_km=2.76; Grazing_Duration_hrs=4.9; Rumination_Time_hrs=5.4; Resting_Hours=5.7; Body_Temperature_C=39.6; Heart_Rate_bpm=52.0; Respiratory_Rate=22.0; Ambient_Temperature_C=11.5; Humidity_percent=67.9; Season=Autumn; Housing_Score=0.62; Milk_Yield_L=8.08; FMD_Vaccine=1; Brucellosis_Vaccine=0; HS_Vaccine=0; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=0; Rabies_Vaccine=1; Previous_Week_Avg_Yield=7.59; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2024-10-24; Farm_ID=FARM_0853; Disease_Status=Bovine_Tuberculosis
10,cattle_record: Cattle_ID=CATTLE_149304; Breed=Illawarra_Shorthorn; Region=Africa; Country=AR; Climate_Zone=Tropical; Management_System=Extensive; Age_Months=51; Weight_kg=622.5; Parity=4; Lactation_Stage=Late; Days_in_Milk=23; Feed_Type=Concentrates; Feed_Quantity_kg=12.3; Water_Intake_L=83.0; Walking_Distance_km=3.28; Grazing_Duration_hrs=2.7; Rumination_Time_hrs=6.5; Resting_Hours=6.1; Body_Temperature_C=38.1; Heart_Rate_bpm=61.0; Respiratory_Rate=21.0; Ambient_Temperature_C=24.0; Humidity_percent=64.4; Season=Summer; Housing_Score=0.41; Milk_Yield_L=8.38; FMD_Vaccine=1; Brucellosis_Vaccine=1; HS_Vaccine=1; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=0; BVD_Vaccine=1; Rabies_Vaccine=0; Previous_Week_Avg_Yield=9.06; Body_Condition_Score=3.0; Milking_Interval_hrs=24; Date=2022-06-22; Farm_ID=FARM_0917; Disease_Status=Healthy
2,cattle_record: Cattle_ID=CATTLE_111627; Breed=Australian_Milking_Zebu; Region=Oceania; Country=BR; Climate_Zone=Continental; Management_System=Intensive; Age_Months=86; Weight_kg=289.2; Parity=1; Lactation_Stage=Early; Days_in_Milk=111; Feed_Type=Concentrates; Feed_Quantity_kg=18.3; Water_Intake_L=69.6; Walking_Distance_km=0.92; Grazing_Duration_hrs=10.1; Rumination_Time_hrs=9.3; Resting_Hours=7.9; Body_Temperature_C=37.7; Heart_Rate_bpm=64.0; Respiratory_Rate=25.0; Ambient_Temperature_C=27.9; Humidity_percent=59.6; Season=Summer; Housing_Score=0.44; Milk_Yield_L=9.51; FMD_Vaccine=0; Brucellosis_Vaccine=0; HS_Vaccine=0; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=0; BVD_Vaccine=1; Rabies_Vaccine=0; Previous_Week_Avg_Yield=9.57; Body_Condition_Score=3.0; Milking_Interval_hrs=12; Date=2024-05-22; Farm_ID=FARM_0676; Disease_Status=Anaplasmosis
14,cattle_record: Cattle_ID=CATTLE_164554; Breed=Gangatiri; Region=South_Asia; Country=AU; Climate_Zone=Mediterranean; Management_System=Semi_Intensive; Age_Months=59; Weight_kg=735.2; Parity=6; Lactation_Stage=Late; Days_in_Milk=271; Feed_Type=Hay; Feed_Quantity_kg=13.9; Water_Intake_L=41.9; Walking_Distance_km=5.88; Grazing_Duration_hrs=1.0; Rumination_Time_hrs=8.6; Resting_Hours=9.2; Body_Temperature_C=38.7; Heart_Rate_bpm=88.0; Respiratory_Rate=20.0; Ambient_Temperature_C=7.2; Humidity_percent=72.8; Season=Spring; Housing_Score=0.45; Milk_Yield_L=3.02; FMD_Vaccine=1; Brucellosis_Vaccine=0; HS_Vaccine=0; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=1; BVD_Vaccine=0; Rabies_Vaccine=1; Previous_Week_Avg_Yield=3.19; Body_Condition_Score=2.5; Milking_Interval_hrs=12; Date=2024-01-13; Farm_ID=FARM_0454; Disease_Status=Ketosis_Clinical
8,cattle_record: Cattle_ID=CATTLE_055780; Breed=Rathi; Region=South_America; Country=NZ; Climate_Zone=Subtropical; Management_System=Mixed; Age_Months=77; Weight_kg=518.9; Parity=3; Lactation_Stage=Late; Days_in_Milk=348; Feed_Type=Silage; Feed_Quantity_kg=11.6; Water_Intake_L=61.5; Walking_Distance_km=5.83; Grazing_Duration_hrs=5.0; Rumination_Time_hrs=6.5; Resting_Hours=14.5; Body_Temperature_C=39.2; Heart_Rate_bpm=66.0; Respiratory_Rate=27.0; Ambient_Temperature_C=18.2; Humidity_percent=49.4; Season=Autumn; Housing_Score=0.51; Milk_Yield_L=1.55; FMD_Vaccine=0; Brucellosis_Vaccine=1; HS_Vaccine=1; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=0; BVD_Vaccine=0; Rabies_Vaccine=1; Previous_Week_Avg_Yield=0.0; Body_Condition_Score=2.0; Milking_Interval_hrs=6; Date=2023-10-09; Farm_ID=FARM_0294; Disease_Status=Theileriosis
10,cattle_record: Cattle_ID=CATTLE_141991; Breed=Illawarra_Shorthorn; Region=South_America; Country=AR; Climate_Zone=Tropical; Management_System=Intensive; Age_Months=79; Weight_kg=636.8; Parity=4; Lactation_Stage=Early; Days_in_Milk=108; Feed_Type=Silage; Feed_Quantity_kg=4.3; Water_Intake_L=105.3; Walking_Distance_km=3.07; Grazing_Duration_hrs=12.2; Rumination_Time_hrs=8.7; Resting_Hours=14.5; Body_Temperature_C=38.6; Heart_Rate_bpm=71.0; Respiratory_Rate=26.0; Ambient_Temperature_C=24.6; Humidity_percent=81.6; Season=Autumn; Housing_Score=0.89; Milk_Yield_L=9.7; FMD_Vaccine=0; Brucellosis_Vaccine=1; HS_Vaccine=1; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=0; Previous_Week_Avg_Yield=10.83; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2022-05-05; Farm_ID=FARM_0411; Disease_Status=Healthy
17,cattle_record: Cattle_ID=CATTLE_176729; Breed=Kenana; Region=South_America; Country=US; Climate_Zone=Tropical; Management_System=Extensive; Age_Months=138; Weight_kg=721.6; Parity=1; Lactation_Stage=Late; Days_in_Milk=242; Feed_Type=Concentrates; Feed_Quantity_kg=10.3; Water_Intake_L=50.7; Walking_Distance_km=2.22; Grazing_Duration_hrs=5.9; Rumination_Time_hrs=7.4; Resting_Hours=9.9; Body_Temperature_C=37.7; Heart_Rate_bpm=75.0; Respiratory_Rate=33.0; Ambient_Temperature_C=29.6; Humidity_percent=79.2; Season=Monsoon; Housing_Score=0.65; Milk_Yield_L=7.35; FMD_Vaccine=0; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=0; Previous_Week_Avg_Yield=11.15; Body_Condition_Score=4.5; Milking_Interval_hrs=24; Date=2023-02-02; Farm_ID=FARM_0424; Disease_Status=Healthy
