text,label_suggested,confidence,source,collected_at,label_frequency,label_human
Archer Daniels Midland,bloat,0.040814223835474464,scrape:https://www.indexmundi.com/commodities/?commodity=soybean-meal&months=12,2026-03-27T12:39:47.177537+00:00,14,
Month Price Change,bloat,0.040984862251513474,scrape:https://www.indexmundi.com/commodities/?commodity=soybean-meal&months=12,2026-03-27T12:39:47.177537+00:00,14,
Feb 2025 358.13 -,bloat,0.041103036384949686,scrape:https://www.indexmundi.com/commodities/?commodity=soybean-meal&months=12,2026-03-27T12:39:47.177537+00:00,14,
Jun 2025 353.13 -1.36%,bloat,0.041103036384949686,scrape:https://www.indexmundi.com/commodities/?commodity=soybean-meal&months=12,2026-03-27T12:39:47.177537+00:00,14,
Mar 2025 368.75 2.97%,bloat,0.041198800207746994,scrape:https://www.indexmundi.com/commodities/?commodity=soybean-meal&months=12,2026-03-27T12:39:47.177537+00:00,14,
Apr 2025 369.38 0.17%,bloat,0.041198800207746994,scrape:https://www.indexmundi.com/commodities/?commodity=soybean-meal&months=12,2026-03-27T12:39:47.177537+00:00,14,
May 2025 358.00 -3.08%,bloat,0.041198800207746994,scrape:https://www.indexmundi.com/commodities/?commodity=soybean-meal&months=12,2026-03-27T12:39:47.177537+00:00,14,
cattle_record: Cattle_ID=CATTLE_077844; Breed=NDama; Region=South_America; Country=IN; Climate_Zone=Continental; Management_System=Semi_Intensive; Age_Months=60; Weight_kg=490.1; Parity=1; Lactation_Stage=Late; Days_in_Milk=190; Feed_Type=Dry_Fodder; Feed_Quantity_kg=21.0; Water_Intake_L=53.6; Walking_Distance_km=1.55; Grazing_Duration_hrs=3.5; Rumination_Time_hrs=7.9; Resting_Hours=9.2; Body_Temperature_C=37.6; Heart_Rate_bpm=62.0; Respiratory_Rate=25.0; Ambient_Temperature_C=-4.4; Humidity_percent=43.7; Season=Autumn; Housing_Score=0.5; Milk_Yield_L=2.36; FMD_Vaccine=0; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=0; Anthrax_Vaccine=1; IBR_Vaccine=0; BVD_Vaccine=0; Rabies_Vaccine=0; Previous_Week_Avg_Yield=4.04; Body_Condition_Score=4.0; Milking_Interval_hrs=8; Date=2022-06-09; Farm_ID=FARM_0141; Disease_Status=Healthy,fatty_liver_syndrome,0.05651918143671518,kaggle:cattle-health-feeding,2026-03-27T12:39:42.158213+00:00,16,
cattle_record: Cattle_ID=CATTLE_233619; Breed=Montbeliarde; Region=Europe_NA; Country=AU; Climate_Zone=Arid; Management_System=Pastoral; Age_Months=78; Weight_kg=268.7; Parity=2; Lactation_Stage=Late; Days_in_Milk=164; Feed_Type=Pasture_Grass; Feed_Quantity_kg=15.2; Water_Intake_L=90.2; Walking_Distance_km=8.34; Grazing_Duration_hrs=7.1; Rumination_Time_hrs=6.5; Resting_Hours=9.1; Body_Temperature_C=37.5; Heart_Rate_bpm=80.0; Respiratory_Rate=24.0; Ambient_Temperature_C=23.6; Humidity_percent=64.9; Season=Autumn; Housing_Score=0.61; Milk_Yield_L=7.87; FMD_Vaccine=0; Brucellosis_Vaccine=0; HS_Vaccine=0; BQ_Vaccine=0; Anthrax_Vaccine=1; IBR_Vaccine=0; BVD_Vaccine=0; Rabies_Vaccine=0; Previous_Week_Avg_Yield=9.15; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2023-05-10; Farm_ID=FARM_0254; Disease_Status=Malignant_Catarrhal_Fever,liver_fluke,0.04684821425877812,kaggle:cattle-health-feeding,2026-03-27T12:39:42.158213+00:00,39,
cattle_record: Cattle_ID=CATTLE_167806; Breed=Rathi; Region=Global; Country=CA; Climate_Zone=Tropical; Management_System=Mixed; Age_Months=59; Weight_kg=729.3; Parity=3; Lactation_Stage=Late; Days_in_Milk=328; Feed_Type=Pasture_Grass; Feed_Quantity_kg=15.4; Water_Intake_L=68.7; Walking_Distance_km=0.5; Grazing_Duration_hrs=4.3; Rumination_Time_hrs=6.1; Resting_Hours=10.6; Body_Temperature_C=38.0; Heart_Rate_bpm=58.0; Respiratory_Rate=26.0; Ambient_Temperature_C=43.6; Humidity_percent=86.0; Season=Autumn; Housing_Score=0.4; Milk_Yield_L=5.04; FMD_Vaccine=0; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=0; BVD_Vaccine=0; Rabies_Vaccine=0; Previous_Week_Avg_Yield=6.02; Body_Condition_Score=3.0; Milking_Interval_hrs=24; Date=2022-11-01; Farm_ID=FARM_0248; Disease_Status=Healthy,liver_fluke,0.04725862432202397,kaggle:cattle-health-feeding,2026-03-27T12:39:42.158213+00:00,39,
